0,Name,Address,Latitude,Longitude,Scale
1,Atkinson Hall,"3195 Voigt Dr, La Jolla, CA 92093",32.8834228,-117.239805,100
2,Canyonview Aquatic Center,"3302 Voigt Dr, San Diego, CA 92121",32.88225557,-117.2333619,200
3,Warren Mall,"3195 Voigt Dr, La Jolla, CA 92093",32.881151,-117.234008,300
4,Geisel Library,"3195 Voigt Dr, La Jolla, CA 92093",32.880276,-117.237562,400
5,Epstein Family Amphitheater,"9480 Innovation Ln, La Jolla, CA 92093",32.878934,-117.232752,500
